Street,Avenue,Lat,Lon
83,4,40.7782667,-73.9587258
83,5,40.7795739,-73.9618584
83,8,40.783347,-73.9707794
83,10,40.7857443,-73.9764606
83,11,40.786941,-73.979288
84,1,40.7755575,-73.9503358
84,2,40.776592,-73.9527726
84,3,40.777504,-73.9549428
84,4,40.7788333,-73.9580794
84,5,40.7802207,-73.9613728
84,8,40.7839761,-73.9703272
84,10,40.7863756,-73.9759911
84,11,40.787573,-73.9788329
85,1,40.7761874,-73.949852
85,2,40.7772064,-73.9522643
85,3,40.77813,-73.9544656
85,4,40.779466,-73.9576127
85,5,40.7808366,-73.9608937
85,8,40.7846217,-73.9698525
85,10,40.7870153,-73.9755443
85,11,40.7882091,-73.978381
86,1,40.776876,-73.9493739
86,2,40.7778909,-73.9517869
86,3,40.7788161,-73.9539643
86,4,40.7802256,-73.9573002
86,5,40.7815248,-73.9603943
86,8,40.7853113,-73.9693397
86,10,40.7876973,-73.9750413
86,11,40.7888937,-73.9778589
