"uuid","identifier_value"
"759c3d30-c533-012f-d9ba-58d385a7bc34","703313F"
"6e639490-c533-012f-2c97-58d385a7bc34","703296B"
"75fbcfa0-c533-012f-61c4-58d385a7bc34","703314B"
"6eb162b0-c533-012f-a485-58d385a7bc34","703297F"
"6eb162b0-c533-012f-a485-58d385a7bc34","703297B"
"465a89f0-c534-012f-2fe6-58d385a7bc34","703841B"
"6f1f5460-c533-012f-e527-58d385a7bc34","703298B"
"6fd79790-c533-012f-b1ca-58d385a7bc34","704235F"
"46cbd130-c534-012f-6221-58d385a7bc34","703842F"
"6fd79790-c533-012f-b1ca-58d385a7bc34","704235B"
"472fb680-c534-012f-93fc-58d385a7bc34","703843B"
"7041d2d0-c533-012f-bfc1-58d385a7bc34","703300B"
"70976bb0-c533-012f-aecc-58d385a7bc34","703301F"
"47b80c50-c534-012f-58c5-58d385a7bc34","703844F"
"70976bb0-c533-012f-aecc-58d385a7bc34","703301B"
"47b80c50-c534-012f-58c5-58d385a7bc34","703844B"
"717c5150-c533-012f-b3ef-58d385a7bc34","703303F"
"48286c60-c534-012f-fdcf-58d385a7bc34","703845F"
"717c5150-c533-012f-b3ef-58d385a7bc34","703303B"
"48842040-c534-012f-fca4-58d385a7bc34","703846F"
"7248ab10-c533-012f-a1f5-58d385a7bc34","703305F"
"48fe6ea0-c534-012f-c882-58d385a7bc34","703847B"
"731f5390-c533-012f-c1fe-58d385a7bc34","703307F"
"731f5390-c533-012f-c1fe-58d385a7bc34","703307B"
"49520af0-c534-012f-899d-58d385a7bc34","703848B"
"73ecc210-c533-012f-d551-58d385a7bc34","703309F"
"49c454c0-c534-012f-8127-58d385a7bc34","703849F"
"73ecc210-c533-012f-d551-58d385a7bc34","703309B"
"49c454c0-c534-012f-8127-58d385a7bc34","703849B"
"7457c530-c533-012f-90ab-58d385a7bc34","703310F"
"7457c530-c533-012f-90ab-58d385a7bc34","703310B"
"4a97abc0-c534-012f-e022-58d385a7bc34","703851B"
"74b99a00-c533-012f-4e62-58d385a7bc34","703311F"
"4aed90c0-c534-012f-f661-58d385a7bc34","703852F"
"74b99a00-c533-012f-4e62-58d385a7bc34","703311B"
"4aed90c0-c534-012f-f661-58d385a7bc34","703852B"
"4b74aaf0-c534-012f-39ed-58d385a7bc34","703853F"
"4b74aaf0-c534-012f-39ed-58d385a7bc34","703853B"
"4fa3a100-c534-012f-c2a2-58d385a7bc34","703863F"
"4be75f80-c534-012f-bb2d-58d385a7bc34","703854B"
"4ff68950-c534-012f-c845-58d385a7bc34","703864F"
"50683bd0-c534-012f-d1c8-58d385a7bc34","703865F"
"4c411cd0-c534-012f-86d2-58d385a7bc34","703855F"
"50683bd0-c534-012f-d1c8-58d385a7bc34","703865B"
"4cb82f30-c534-012f-cefd-58d385a7bc34","703856B"
"50e9e880-c534-012f-afd6-58d385a7bc34","703866F"
"50e9e880-c534-012f-afd6-58d385a7bc34","703866B"
"4ed95ce0-c534-012f-b68b-58d385a7bc34","703861F"
"514b5ab0-c534-012f-dad8-58d385a7bc34","703867F"
"4f352b20-c534-012f-0f1a-58d385a7bc34","703862B"
"514b5ab0-c534-012f-dad8-58d385a7bc34","703867B"
"51ba1630-c534-012f-c36c-58d385a7bc34","703868B"
"53095540-c534-012f-1e15-58d385a7bc34","703871F"
"53095540-c534-012f-1e15-58d385a7bc34","703871B"
"5365f6c0-c534-012f-d0a7-58d385a7bc34","703872B"
"2d350ca0-c535-012f-ccae-58d385a7bc34","704416F"
"53e852b0-c534-012f-bc0d-58d385a7bc34","703873F"
"54b57b90-c534-012f-ae8e-58d385a7bc34","703875F"
"54b57b90-c534-012f-ae8e-58d385a7bc34","703875B"
"28d06180-c535-012f-aa18-58d385a7bc34","704406F"
"2dafdcc0-c535-012f-17a3-58d385a7bc34","704417B"
"292a15f0-c535-012f-7337-58d385a7bc34","704407F"
"2e17e3f0-c535-012f-a47d-58d385a7bc34","704418B"
"292a15f0-c535-012f-7337-58d385a7bc34","704407B"
"2e677090-c535-012f-ada1-58d385a7bc34","704419F"
"29984230-c535-012f-9e69-58d385a7bc34","704408F"
"2e677090-c535-012f-ada1-58d385a7bc34","704419B"
"29984230-c535-012f-9e69-58d385a7bc34","704408B"
"2ed27100-c535-012f-bcd8-58d385a7bc34","704420F"
"2ae2c060-c535-012f-8738-58d385a7bc34","704411F"
"2ed27100-c535-012f-bcd8-58d385a7bc34","704420B"
"2b4a9690-c535-012f-7313-58d385a7bc34","704412B"
