judgment,notes,photo_id,title,url
Meh,,728133f-b,Queens: Utopia Parkway - 75th Avenue,http://digitalgallery.nypl.org/nypldigital/id?728133f
Great,Brand-new GWB!,1558509,Bridges - George Washington Bridge,http://digitalgallery.nypl.org/nypldigital/id?1558509
Meh,,722487f-b,Manhattan: Pearl Street - Broad Street,http://digitalgallery.nypl.org/nypldigital/id?722487f
Meh,,1508261-a,60th Street (East) #29,http://digitalgallery.nypl.org/nypldigital/id?1508261
Meh,,709553f-a,Manhattan: 6th Avenue - 49th Street (West),http://digitalgallery.nypl.org/nypldigital/id?709553f
Meh,,727252f-a,Queens: Little Neck Parkway - Albert Street,http://digitalgallery.nypl.org/nypldigital/id?727252f
Meh,,716052f-b,Manhattan: Amsterdam Avenue - Cathedral Parkway,http://digitalgallery.nypl.org/nypldigital/id?716052f
Meh,,729997f-c,General View - Brooklyn - Hotel St. George.,http://digitalgallery.nypl.org/nypldigital/id?729997f
Meh,,732618f-a,Public Schools - Brooklyn - P.S. 2.,http://digitalgallery.nypl.org/nypldigital/id?732618f
Great,Street scene in the LES in 1908,716608f-a,Manhattan: Bayard Street - Chrystie Street,http://digitalgallery.nypl.org/nypldigital/id?716608f
Great,Street scene,708851f-a,Manhattan: 5th Avenue - 46th Street,http://digitalgallery.nypl.org/nypldigital/id?708851f
Meh,,725565f-b,Queens: 66th Avenue - Groton Street,http://digitalgallery.nypl.org/nypldigital/id?725565f
Meh,,717431f-a,Manhattan: Broadway - 38th Street,http://digitalgallery.nypl.org/nypldigital/id?717431f
Meh,,701423f-a,Bronx: Magenta Street - Cruger Avenue,http://digitalgallery.nypl.org/nypldigital/id?701423f
Meh,,723923f,Manhattan: Wall Street - William Street,http://digitalgallery.nypl.org/nypldigital/id?723923f
Great,Gathering @ Columbus Circle,719145f-a,Manhattan: Columbus Circle - Celebrations - Tribute to Columbus.,http://digitalgallery.nypl.org/nypldigital/id?719145f
Meh,,714677f-a,Manhattan: 85th Street (East) - 3rd Avenue,http://digitalgallery.nypl.org/nypldigital/id?714677f
Great,A day at the race track,701498f-b,Bronx: Pelham Parkway South - Sacket Avenue,http://digitalgallery.nypl.org/nypldigital/id?701498f
Great,Street merchants,732438f-b,Occupations - Peddlers - Food - Fruit.,http://digitalgallery.nypl.org/nypldigital/id?732438f
Meh,,725571f-a,Queens: 66th Road - 102nd Street,http://digitalgallery.nypl.org/nypldigital/id?725571f
Meh,,711340f-a,Manhattan: 15th Street - 8th Avenue,http://digitalgallery.nypl.org/nypldigital/id?711340f
Meh,,728961f-b,Richmond: Howard Avenue - Eddy Street,http://digitalgallery.nypl.org/nypldigital/id?728961f
Meh,,710408f-a,Manhattan: 9th Avenue - 46th Street (West),http://digitalgallery.nypl.org/nypldigital/id?710408f
Meh,,711646f-a,Manhattan: 23rd Street - 4th Avenue,http://digitalgallery.nypl.org/nypldigital/id?711646f
Meh,,704104f-d,Brooklyn: Emmons Avenue - Sheepshead Bay Road,http://digitalgallery.nypl.org/nypldigital/id?704104f
Meh,,725560f-b,Queens: 65th Place - Maurice Avenue,http://digitalgallery.nypl.org/nypldigital/id?725560f
Meh,,710570f-c,Manhattan: 10th Avenue - 44th Street,http://digitalgallery.nypl.org/nypldigital/id?710570f
Meh,,731415f-a,Colleges and Universities - College of the City of New York.,http://digitalgallery.nypl.org/nypldigital/id?731415f
Meh,,700197f-a,Bronx: 164th Street (East) - Walton Avenue,http://digitalgallery.nypl.org/nypldigital/id?700197f
Meh,,716298f-a,Manhattan: Amsterdam Avenue - Cathedral Parkway,http://digitalgallery.nypl.org/nypldigital/id?716298f
Meh,,707698f-a,Manhattan: 1st Ave. - 106th St.,http://digitalgallery.nypl.org/nypldigital/id?707698f
Meh,,733112f-b,Squatters Colony - Columbia Street - Brooklyn.,http://digitalgallery.nypl.org/nypldigital/id?733112f
Meh,,729025f-a,Richmond: Iroquois Street - Seaside Boulevard,http://digitalgallery.nypl.org/nypldigital/id?729025f
Meh,,716502f-b,Manhattan: Battery Park Fountain near the Ellis Island Ferry building.,http://digitalgallery.nypl.org/nypldigital/id?716502f
Meh,,712534f-a,Manhattan: 39th Street - 2nd Avenue,http://digitalgallery.nypl.org/nypldigital/id?712534f
Meh,,727569f-d,Queens: Northern Boulevard - Main Street,http://digitalgallery.nypl.org/nypldigital/id?727569f
Meh,,718309f-a,Manhattan: 106th Street - Waltham Street,http://digitalgallery.nypl.org/nypldigital/id?718309f
Meh,,710172f-b,Manhattan: 8th Avenue - 39th Street,http://digitalgallery.nypl.org/nypldigital/id?710172f
Meh,,719224f-a,Manhattan: Corlears Street - Cherry Street,http://digitalgallery.nypl.org/nypldigital/id?719224f
Meh,,707435f-a,Brooklyn: Winthrop St. - 52nd St. E.,http://digitalgallery.nypl.org/nypldigital/id?707435f
Great,Men hanging out with rifle & dog,730622f-a,Staten Island - Poppy Joe Island Beach - [Stroud place.],http://digitalgallery.nypl.org/nypldigital/id?730622f
Meh,,702995f-a,Brooklyn: Ashland Place - Myrtle Avenue,http://digitalgallery.nypl.org/nypldigital/id?702995f
Meh,,704300f-b,Brooklyn: Flatbush Avenue - 34th Street (East),http://digitalgallery.nypl.org/nypldigital/id?704300f
Meh,,717843f-a,Manhattan: Broome Street - Sheriff Street,http://digitalgallery.nypl.org/nypldigital/id?717843f
Meh,,714929f-a,Manhattan: 99th Street (West) - 3rd Avenue,http://digitalgallery.nypl.org/nypldigital/id?714929f
Meh,,702144f-a,Bronx: White Plains Road - Brady Avenue,http://digitalgallery.nypl.org/nypldigital/id?702144f
Meh,,728725f-b,Richmond: [Staten Island] - Clove Lakes Park - Ice house - Clove Lake.,http://digitalgallery.nypl.org/nypldigital/id?728725f
Meh,,702594f-a,Brooklyn: 18th Avenue - 47th Street,http://digitalgallery.nypl.org/nypldigital/id?702594f
Great,workers,716280f-d,Manhattan: Amsterdam Avenue - Cathedral Parkway,http://digitalgallery.nypl.org/nypldigital/id?716280f
Meh,,701085f-b,Bronx: Fort Schuyler.,http://digitalgallery.nypl.org/nypldigital/id?701085f
